mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.661747646331786,0.5100484279123155,0.27657303810119627,0.04596909755653066,0.31248371290835353,0.08627132451918355,5,2,0.962453092208406,"{'model__colsample_bytree': np.float64(0.31248371290835353), 'model__learning_rate': np.float64(0.08627132451918355), 'model__max_depth': 5, 'model__min_child_weight': 2, 'model__subsample': np.float64(0.962453092208406)}",0.8733703614378779,0.8448724759201534,0.8385947515561345,0.8461656196375175,0.8943483020857552,0.8594703021274878,0.02114514718660931,1
51.40159454345703,0.8377399296416781,1.0356159687042237,0.87271704248828,0.9245601665446017,0.08982913192290203,6,1,0.8213685557512812,"{'model__colsample_bytree': np.float64(0.9245601665446017), 'model__learning_rate': np.float64(0.08982913192290203), 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__subsample': np.float64(0.8213685557512812)}",0.8620118145617148,0.8468621281670569,0.8363062131500781,0.8454403722024812,0.9022113894431857,0.8585663835049033,0.023330471441745885,2
15.142711782455445,2.3266613165264847,0.4048123836517334,0.05608477465301063,0.3618042392459826,0.13199849257295307,8,2,0.8880358368794847,"{'model__colsample_bytree': np.float64(0.3618042392459826), 'model__learning_rate': np.float64(0.13199849257295307), 'model__max_depth': 8, 'model__min_child_weight': 2, 'model__subsample': np.float64(0.8880358368794847)}",0.8601593597831596,0.8328959793197693,0.8454453373751751,0.8419923327340064,0.8970594546650054,0.8555104927754232,0.022553901753488335,3
48.328528881073,0.3097627755727183,0.4609647750854492,0.01410764057014479,0.9583732994194258,0.059617825166211336,8,3,0.8589376540630865,"{'model__colsample_bytree': np.float64(0.9583732994194258), 'model__learning_rate': np.float64(0.059617825166211336), 'model__max_depth': 8, 'model__min_child_weight': 3, 'model__subsample': np.float64(0.8589376540630865)}",0.8786906347514635,0.8405132159969828,0.8257434856635026,0.8325641215363185,0.8989819503413891,0.8552986816579311,0.02851101983936939,4
20.547796773910523,1.6089398245876667,0.582408857345581,0.10889027706883392,0.7666847240100723,0.10026178084329287,9,3,0.9369813938035444,"{'model__colsample_bytree': np.float64(0.7666847240100723), 'model__learning_rate': np.float64(0.10026178084329287), 'model__max_depth': 9, 'model__min_child_weight': 3, 'model__subsample': np.float64(0.9369813938035444)}",0.8725864736198435,0.8349505359725234,0.8383375926691319,0.8280512000624504,0.9020445627474799,0.8551940730142858,0.02802906085023748,5
34.95961675643921,0.3809771119330077,0.49334282875061036,0.02269776877680501,0.6760360668320757,0.10390536006417851,7,1,0.8429104053599803,"{'model__colsample_bytree': np.float64(0.6760360668320757), 'model__learning_rate': np.float64(0.10390536006417851), 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__subsample': np.float64(0.8429104053599803)}",0.8559174971990003,0.8390710892423782,0.8343500622966288,0.8490196624145249,0.893565749609044,0.8543848121523153,0.020986572499060416,6
34.79868350028992,1.9211862521350842,1.5037725925445558,0.9154399219733221,0.5939114325127409,0.0923422654842811,6,3,0.9436928756680115,"{'model__colsample_bytree': np.float64(0.5939114325127409), 'model__learning_rate': np.float64(0.0923422654842811), 'model__max_depth': 6, 'model__min_child_weight': 3, 'model__subsample': np.float64(0.9436928756680115)}",0.8689024345035137,0.8326524932395056,0.8333320417036689,0.8309757625344747,0.898488371913645,0.8528702207789616,0.026862285234558837,7
16.900251865386963,0.24147641486378157,0.7254351615905762,0.4397467455411688,0.3622434726071305,0.19343043417048955,9,8,0.9947747490076042,"{'model__colsample_bytree': np.float64(0.3622434726071305), 'model__learning_rate': np.float64(0.19343043417048955), 'model__max_depth': 9, 'model__min_child_weight': 8, 'model__subsample': np.float64(0.9947747490076042)}",0.869464943906304,0.826352586399227,0.8377275195297356,0.8352582899849647,0.8906995994981927,0.8519005878636848,0.024266900216209544,8
15.504464864730835,0.6952972781377059,0.3088355541229248,0.02507222123939106,0.351048681660052,0.25723808411108967,5,8,0.9604638737469583,"{'model__colsample_bytree': np.float64(0.351048681660052), 'model__learning_rate': np.float64(0.25723808411108967), 'model__max_depth': 5, 'model__min_child_weight': 8, 'model__subsample': np.float64(0.9604638737469583)}",0.8768168172412913,0.8322176374815314,0.8444630482998103,0.8219867580496473,0.8822642318887877,0.8515496985922137,0.023998860360984687,9
37.92785148620605,0.4548100359528518,0.6148123741149902,0.129420415790512,0.6021312869570514,0.10767317699824361,6,8,0.8523466821231327,"{'model__colsample_bytree': np.float64(0.6021312869570514), 'model__learning_rate': np.float64(0.10767317699824361), 'model__max_depth': 6, 'model__min_child_weight': 8, 'model__subsample': np.float64(0.8523466821231327)}",0.8717664533986693,0.8123863123233851,0.8332957928409751,0.8412397636842373,0.8945242087446043,0.8506425061983742,0.02906778754762168,10
25.319344758987427,1.0388734035751748,0.5812214851379395,0.2824500858372278,0.9729426512169432,0.07798327283767867,6,7,0.8568281761576584,"{'model__colsample_bytree': np.float64(0.9729426512169432), 'model__learning_rate': np.float64(0.07798327283767867), 'model__max_depth': 6, 'model__min_child_weight': 7, 'model__subsample': np.float64(0.8568281761576584)}",0.8695493428930514,0.8235290569437227,0.8305444728180303,0.8384679522368823,0.8903647670218396,0.8504911183827053,0.025387011355321842,11
