mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
194.73002877235413,6.459341513975732,0.33086428642272947,0.013057448721393878,2,50,"{'model__min_samples_leaf': 2, 'model__n_estimators': 50}",0.8415875446230262,0.8457231289203796,0.8000243497212877,0.8058291433075859,0.8888883694529064,0.8364105072050372,0.032020696244795234,8
368.0837683200836,5.791033616677423,0.6143302917480469,0.06136809389562433,2,100,"{'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.8438924355853322,0.8495495957040192,0.8002144336181155,0.8194152304048774,0.8919908050332305,0.8410125000691149,0.031018987380510663,3
521.3708630561829,22.49852693730513,0.7469426155090332,0.10715398608227816,2,150,"{'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.851101486175438,0.8486811140291516,0.8051665454237924,0.8249524459639859,0.8883136679093652,0.8436430519003466,0.02795086598795602,2
681.2770858287811,14.541176817959066,1.2041706085205077,0.26674152043723925,2,200,"{'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.8521382946338293,0.8540909063686096,0.804796172110456,0.8209008262118772,0.8867818104371893,0.8437416019523922,0.02852549609841172,1
167.86155505180358,2.11782687092716,0.32729325294494627,0.004873622234367558,4,50,"{'model__min_samples_leaf': 4, 'model__n_estimators': 50}",0.8395824270106673,0.8407332620915782,0.7888494232561497,0.8158386455543332,0.8738463329311055,0.8317700181687668,0.028311749640547182,12
339.0009247303009,12.49438240473582,0.5665580272674561,0.08152223018524023,4,100,"{'model__min_samples_leaf': 4, 'model__n_estimators': 100}",0.8395477328880538,0.8475249808670686,0.7978305469976098,0.8132887006703613,0.8750045239615911,0.8346392970769368,0.02694519318772672,11
512.4373911857605,11.787132841649537,0.8491264343261719,0.07902100228003471,4,150,"{'model__min_samples_leaf': 4, 'model__n_estimators': 150}",0.8452069497761661,0.8508607981255316,0.7989873472304458,0.8166592651436049,0.8796460455849678,0.8382720811721432,0.028031329850275254,5
683.4855279445649,15.487376649546354,1.1386771202087402,0.06180606620197155,4,200,"{'model__min_samples_leaf': 4, 'model__n_estimators': 200}",0.8467235447760226,0.8503619639901444,0.8043351298295575,0.8177320830893569,0.8800612804152671,0.8398428004200698,0.026552597122967356,4
167.1051957130432,6.807775565802203,0.28090291023254393,0.039460591355807914,6,50,"{'model__min_samples_leaf': 6, 'model__n_estimators': 50}",0.8457203057937792,0.8441028061181356,0.8006049223714525,0.8261509936662079,0.8740242365654183,0.8381206529029986,0.024221110546440924,6
333.89699015617373,11.014358747968503,0.5498692512512207,0.06893286990178916,6,100,"{'model__min_samples_leaf': 6, 'model__n_estimators': 100}",0.8383501231377596,0.8469808591977844,0.8041230235418,0.8198890361871194,0.86990496072318,0.8358496005575287,0.022588671462747373,9
456.1277151107788,32.49785345581059,0.669607400894165,0.056971674404009395,6,150,"{'model__min_samples_leaf': 6, 'model__n_estimators': 150}",0.8384864959233084,0.8453533279245339,0.8037009581410689,0.81852485950674,0.8705507770234423,0.8353232837038187,0.02295100221646407,10
521.7327572345733,9.702403214980642,0.5241238117218018,0.09408712704141851,6,200,"{'model__min_samples_leaf': 6, 'model__n_estimators': 200}",0.8421226989059966,0.8480397894293734,0.804668461899645,0.8189312352128806,0.8707887117799276,0.8369101794455647,0.02307190636544963,7
