mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
897.1563700675964,28.057116859953357,1.4747044563293457,0.12057443353799029,31,2,261,"{'model__max_depth': 31, 'model__min_samples_leaf': 2, 'model__n_estimators': 261}",0.8525173204169872,0.859592673591434,0.8057364323110778,0.8231134206919223,0.8885275450448187,0.8458974784112481,0.028916175993393644,1
576.1033960342407,18.447508758640982,0.8559744358062744,0.06819242807326423,22,2,169,"{'model__max_depth': 22, 'model__min_samples_leaf': 2, 'model__n_estimators': 169}",0.8523617501236436,0.8552031623730912,0.8081240653048825,0.8230064194136737,0.8898079596720146,0.8457006713774613,0.028309541084282377,2
1378.9838203907013,63.24690799812738,2.520352363586426,0.7509015287337436,32,2,391,"{'model__max_depth': 32, 'model__min_samples_leaf': 2, 'model__n_estimators': 391}",0.8505699621739882,0.8573532362128548,0.8083063807480736,0.8242395205407317,0.8865330096324261,0.8454004218616149,0.027148610739870994,3
1599.314803647995,57.39999698510433,2.5089187145233156,0.23591242906010454,41,2,467,"{'model__max_depth': 41, 'model__min_samples_leaf': 2, 'model__n_estimators': 467}",0.85214065459637,0.8575406340685049,0.8065482918775791,0.8236495296953746,0.8867884839846418,0.8453335188444943,0.02788674993720797,4
877.5599012851715,186.2155379528835,1.8496055126190185,0.45592646789823904,39,3,196,"{'model__max_depth': 39, 'model__min_samples_leaf': 3, 'model__n_estimators': 196}",0.8495898675681611,0.8528830988050208,0.8084850511845563,0.8180239056069516,0.8783735743807982,0.8414710995090975,0.025281578512178885,5
2516.9649926185607,65.12172102315347,1.9180665493011475,0.23855964678736205,31,4,430,"{'model__max_depth': 31, 'model__min_samples_leaf': 4, 'model__n_estimators': 430}",0.8458847053283066,0.8531878498702845,0.8052084030282542,0.8226031220565386,0.8789183724294207,0.8411604905425609,0.025414805700947125,6
1641.3898653507233,63.70576855285913,2.6756215572357176,0.1155946595372725,47,5,470,"{'model__max_depth': 47, 'model__min_samples_leaf': 5, 'model__n_estimators': 470}",0.8473451460233774,0.8519293358817056,0.8033412026064759,0.8228795479511583,0.8787301863673547,0.8408450837660144,0.025805790174189765,7
1381.275124168396,444.2951854078235,1.1186453342437743,0.23806024900482783,23,5,409,"{'model__max_depth': 23, 'model__min_samples_leaf': 5, 'model__n_estimators': 409}",0.8473029556812929,0.8516373206118888,0.8034186577817626,0.8242679726122585,0.8772289794289764,0.8407711772232359,0.025129564320529818,8
2300.943899536133,50.80780156866351,4.640170574188232,0.8269408088290131,20,5,367,"{'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__n_estimators': 367}",0.845700443708916,0.8526601968144846,0.8045740539109633,0.8222575327898121,0.8777179121291986,0.8405820278706748,0.02523297665374686,9
856.9398334503173,10.70942364796794,1.3140648365020753,0.13421122284090678,13,4,286,"{'model__max_depth': 13, 'model__min_samples_leaf': 4, 'model__n_estimators': 286}",0.8414582736860676,0.8534122813682385,0.8041991597220975,0.8153756201154413,0.8737396298834357,0.8376369929550561,0.025221101150212186,10
