mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51.14661178588867,0.5244217655231239,1.0471593379974364,0.028087834503871326,0.5,0.05,2,300,0.9,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 0.9}",0.8778793318041,0.851021960503598,0.8396947935447088,0.8451765795905598,0.8988019756905116,0.8625149282266957,0.022388746719488182,1
41.037210607528685,0.3755397627260738,0.8956507682800293,0.008840568354468727,0.5,0.05,2,250,0.9,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 250, 'model__subsample': 0.9}",0.8776852205212539,0.849565981712961,0.8370496687464128,0.8482159972033574,0.8987317892080403,0.862249731478405,0.022636524581709692,2
50.478738355636594,0.40164084353881635,1.0224345684051515,0.03634800138578058,0.7,0.03,2,300,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8796759270266883,0.8452945921971693,0.8371660914861867,0.8461902063070045,0.9002751734124873,0.8617203980859072,0.024177591478074772,3
51.58025975227356,9.309733953391394,0.7556776523590087,0.0305241016901015,0.5,0.05,2,200,0.9,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 200, 'model__subsample': 0.9}",0.87728649346192,0.8464583985032879,0.8342689908563571,0.8514678206575,0.8981808555191416,0.8615325117996413,0.023078628682315357,4
50.49043445587158,0.557060860560771,0.9016170024871826,0.008820141465888824,1.0,0.1,2,300,0.9,"{'model__colsample_bytree': 1, 'model__learning_rate': 0.1, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 0.9}",0.8696866070958965,0.8455087312089314,0.843347401231781,0.841500818184245,0.9070610447411106,0.8614209204923929,0.025012008550651114,5
35.38577132225036,0.3796847693086701,0.7178090572357178,0.01293146868639638,1.0,0.1,2,200,0.9,"{'model__colsample_bytree': 1, 'model__learning_rate': 0.1, 'model__min_child_weight': 2, 'model__n_estimators': 200, 'model__subsample': 0.9}",0.8676885980705276,0.8461609386162323,0.8432005046840441,0.842072436068612,0.9070083070009859,0.8612261568880804,0.02472455611406054,6
49.59128837585449,0.5753732756188511,1.0879481792449952,0.05894458111709346,0.5,0.03,2,300,0.9,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.03, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 0.9}",0.8819261234147168,0.8434816555930771,0.8321702411499552,0.8448142262664722,0.9036262320355907,0.8612036956919624,0.027035966772096822,7
41.9833441734314,0.3490925124294221,0.8546607494354248,0.010227654682618263,0.7,0.03,2,250,0.8,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__min_child_weight': 2, 'model__n_estimators': 250, 'model__subsample': 0.8}",0.8802941116568445,0.8408222088280947,0.836186411435746,0.8484185862910592,0.9001711049653076,0.8611784846354104,0.024850063701862664,8
59.33112440109253,0.16960679532856746,0.7392214298248291,0.009626685901884426,0.5,0.05,2,200,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8774148209761974,0.85370157236261,0.8303651386355405,0.8438094669422475,0.900095121387588,0.8610772240608366,0.02483997282534963,9
43.01855044364929,1.0309114423611603,1.0131351470947265,0.00849225350585925,0.3,0.08,2,300,1.0,"{'model__colsample_bytree': 0.3, 'model__learning_rate': 0.08, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 1}",0.8756098648255782,0.85149576155654,0.840852033035351,0.8398832280553146,0.8966465399511485,0.8608974854847865,0.022028438860454587,10
26.765142583847044,1.3076432417967203,0.6953907012939453,0.06406850699965806,0.3,0.05,2,250,0.9,"{'model__colsample_bytree': 0.3, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 250, 'model__subsample': 0.9}",0.8802580769789994,0.8398969332327507,0.8413731623263493,0.8474133988472115,0.8952470621675086,0.860837726710564,0.022621896683822574,11
50.81385736465454,0.46492495234034176,0.9175539016723633,0.009662541185481438,0.3,0.12,2,300,0.9,"{'model__colsample_bytree': 0.3, 'model__learning_rate': 0.12, 'model__min_child_weight': 2, 'model__n_estimators': 300, 'model__subsample': 0.9}",0.872613661311489,0.8497235791784904,0.8482913826430342,0.8384303630041035,0.894924509598213,0.8607966991470661,0.02041371088337099,12
34.509159851074216,0.788994716195255,0.7398287773132324,0.029103333084820042,0.7,0.05,2,200,0.9,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__min_child_weight': 2, 'model__n_estimators': 200, 'model__subsample': 0.9}",0.8761766357313915,0.8421998081498759,0.8356872391769343,0.8477582598759643,0.9020797938670804,0.8607803473602493,0.024848200158056163,13
36.37364339828491,0.924244041670928,0.9278756141662597,0.03311491734231634,0.9,0.08,2,150,1.0,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.08, 'model__min_child_weight': 2, 'model__n_estimators': 150, 'model__subsample': 1}",0.8732134761824021,0.8436563850374112,0.8420603865420735,0.8437515480052301,0.9005061825551486,0.8606375956644531,0.02309229226451457,14
